indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Longas_0,1,0,6,4,0,3,1,1
1,Longas_1,2,1,3,2,0,3,1,1
2,Longas_2,3,0,3,0,1,1,3,1
3,Longas_3,4,4,5,0,1,1,3,1
4,Longas_4,5,6,3,0,0,3,1,1
5,Longas_5,1,0,6,5,0,3,1,1
6,Longas_6,2,0,6,1,0,3,1,1
7,Longas_7,3,0,3,1,1,1,3,1
8,Longas_8,4,3,5,0,1,1,3,1
9,Longas_9,5,9,0,0,1,1,3,1
10,Longas_10,1,0,7,2,0,3,1,1
11,Longas_11,2,3,0,2,0,3,1,1
12,Longas_12,3,1,3,1,0,3,1,1
13,Longas_13,4,5,6,0,0,3,1,1
14,Longas_14,5,3,1,0,0,3,1,1
15,Longas_15,1,2,0,3,1,1,3,1
16,Longas_16,2,1,0,2,1,1,3,1
17,Longas_17,3,1,0,1,1,1,3,1
18,Longas_18,4,9,5,0,1,1,3,1
19,Longas_19,5,3,2,0,0,3,1,1
20,Longas_20,1,0,0,3,1,1,3,1
21,Longas_21,2,3,1,2,0,3,1,1
22,Longas_22,3,0,0,1,1,1,3,1
23,Longas_23,4,2,3,0,1,1,3,1
24,Longas_24,5,8,0,0,1,1,3,1
25,Longas_25,1,0,7,5,0,3,1,1
26,Longas_26,2,0,7,1,0,3,1,1
27,Longas_27,3,3,1,1,0,3,1,1
28,Longas_28,4,1,3,0,1,1,3,1
29,Longas_29,5,7,0,0,1,1,3,1
30,Longas_30,1,0,7,4,0,3,1,1
31,Longas_31,2,2,0,2,1,1,3,1
32,Longas_32,3,3,4,1,1,1,3,1
33,Longas_33,4,8,5,0,1,1,3,1
34,Longas_34,5,1,0,0,1,1,3,1
35,Longas_35,1,0,3,3,1,1,3,1
36,Longas_36,2,0,6,2,0,3,1,1
37,Longas_37,3,0,6,0,0,3,1,1
38,Longas_38,4,5,7,0,0,3,1,1
39,Longas_39,5,2,0,0,1,1,3,1
40,Longas_40,1,1,0,3,1,1,3,1
41,Longas_41,2,0,0,2,1,1,3,1
42,Longas_42,3,2,0,1,1,1,3,1
43,Longas_43,4,0,7,0,0,3,1,1
44,Longas_44,5,6,4,0,0,3,1,1
45,Longas_45,1,1,3,3,0,3,1,1
46,Longas_46,2,3,7,1,0,3,1,1
47,Longas_47,3,3,2,1,0,3,1,1
48,Longas_48,4,3,4,0,0,3,1,1
49,Longas_49,5,6,0,0,1,1,3,1
50,Longas_50,1,0,6,3,0,3,1,1
51,Longas_51,2,3,4,2,1,1,3,1
52,Longas_52,3,3,0,1,0,3,1,1
53,Longas_53,4,5,5,0,0,3,1,1
54,Longas_54,5,3,0,0,0,3,1,1
55,Longas_55,1,0,7,3,0,3,1,1
56,Longas_56,2,0,3,2,1,1,3,1
57,Longas_57,3,4,3,1,0,3,1,1
58,Longas_58,4,3,3,0,0,3,1,1
59,Longas_59,5,0,0,0,1,1,3,1
