indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Cubo_0,1,0,6,0,1,1,1,1
1,Cubo_1,2,4,9,0,0,1,1,1
2,Cubo_2,3,2,3,0,0,1,1,1
3,Cubo_3,4,2,2,0,0,1,1,1
4,Cubo_4,5,2,0,0,1,1,1,1
5,Cubo_5,1,0,1,1,0,1,1,1
6,Cubo_6,2,1,4,0,1,1,1,1
7,Cubo_7,3,3,4,0,1,1,1,1
8,Cubo_8,4,0,5,0,1,1,1,1
9,Cubo_9,5,2,7,0,0,1,1,1
10,Cubo_10,1,0,0,1,0,1,1,1
11,Cubo_11,2,0,3,0,0,1,1,1
12,Cubo_12,3,1,1,0,1,1,1,1
13,Cubo_13,4,4,2,0,0,1,1,1
14,Cubo_14,5,3,0,0,0,1,1,1
15,Cubo_15,1,6,6,0,1,1,1,1
16,Cubo_16,2,0,9,0,1,1,1,1
17,Cubo_17,3,2,4,0,1,1,1,1
18,Cubo_18,4,1,8,0,1,1,1,1
19,Cubo_19,5,1,7,0,1,1,1,1
20,Cubo_20,1,5,6,0,0,1,1,1
21,Cubo_21,2,2,9,0,1,1,1,1
22,Cubo_22,3,2,1,0,1,1,1,1
23,Cubo_23,4,3,8,0,0,1,1,1
24,Cubo_24,5,1,0,0,1,1,1,1
25,Cubo_25,1,3,6,0,1,1,1,1
26,Cubo_26,2,5,9,0,0,1,1,1
27,Cubo_27,3,1,3,0,0,1,1,1
28,Cubo_28,4,3,2,0,0,1,1,1
29,Cubo_29,5,0,0,0,1,1,1,1
30,Cubo_30,1,1,6,0,0,1,1,1
31,Cubo_31,2,0,1,0,0,1,1,1
32,Cubo_32,3,3,3,0,0,1,1,1
33,Cubo_33,4,0,8,0,0,1,1,1
34,Cubo_34,5,0,7,0,0,1,1,1
35,Cubo_35,1,2,6,0,1,1,1,1
36,Cubo_36,2,0,4,0,0,1,1,1
37,Cubo_37,3,3,1,0,0,1,1,1
38,Cubo_38,4,0,2,0,0,1,1,1
39,Cubo_39,5,3,5,0,0,1,1,1
40,Cubo_40,1,7,6,0,1,1,1,1
41,Cubo_41,2,3,9,0,0,1,1,1
42,Cubo_42,3,4,1,0,0,1,1,1
43,Cubo_43,4,2,8,0,0,1,1,1
44,Cubo_44,5,1,5,0,0,1,1,1
45,Cubo_45,1,4,6,0,0,1,1,1
46,Cubo_46,2,1,9,0,1,1,1,1
47,Cubo_47,3,4,3,0,1,1,1,1
48,Cubo_48,4,1,2,0,1,1,1,1
49,Cubo_49,5,2,5,0,1,1,1,1
