geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,4.942321062088013,1
2,-0.0,7.220128774642944,2
3,-0.0,9.58617877960205,3
4,-0.0,12.126099586486816,4
5,-0.0,14.246977090835571,5
6,-0.0,16.542904376983643,6
7,-0.0,19.17398953437805,7
8,-0.0,21.464913606643677,8
9,-0.0,23.8374605178833,9
10,-0.0,26.59915852546692,10
11,-0.0,29.006805896759033,11
12,-0.0,31.31291890144348,12
13,-0.0,33.885738134384155,13
14,-0.0,36.24275588989258,14
15,-0.0,38.2742338180542,15
16,-0.0,40.36512017250061,16
17,-0.0,42.76498103141785,17
18,-0.0,45.13149309158325,18
19,-0.0,47.57353472709656,19
20,-0.0,50.091925621032715,20
21,-0.0,52.49973773956299,21
22,-0.0,55.01226997375488,22
23,-0.0,57.669203996658325,23
24,-0.0,60.313881397247314,24
25,-0.0,62.87341570854187,25
26,-0.0,65.57913899421692,26
27,-0.0,67.96670126914978,27
28,-0.0,70.50853085517883,28
29,-0.0,72.89262199401855,29
30,-0.0,75.32238101959229,30
31,-0.0,77.81049108505249,31
32,-0.0,80.341637134552,32
33,-0.0,82.71780943870544,33
34,-0.0,85.21329069137573,34
35,-0.0,87.60432720184326,35
36,-0.0,89.95303344726562,36
37,-0.0,92.4423816204071,37
38,-0.0,94.92627763748169,38
39,-0.0,97.27396655082703,39
40,-0.0,99.54873418807983,40
41,-0.0,101.83010053634644,41
42,-0.0,103.98154020309448,42
43,-0.0,106.42533206939697,43
44,-0.0,108.52930116653442,44
45,-0.0,110.63683128356934,45
46,-0.0,112.9522967338562,46
47,-0.0,115.2458565235138,47
48,-0.0,117.48684620857239,48
49,-0.0,119.60139203071594,49
50,-0.0,121.90561938285828,50
