geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,4.719685077667236,1
2,-0.0,7.0502753257751465,2
3,-0.0,9.312789916992188,3
4,-0.0,11.698963642120361,4
5,-0.0,14.23594880104065,5
6,-0.0,16.46977138519287,6
7,-0.0,19.013758420944214,7
8,-0.0,21.58948063850403,8
9,-0.0,24.317363739013672,9
10,-0.0,27.15671443939209,10
11,-0.0,29.86784791946411,11
12,-0.0,32.74252700805664,12
13,-0.0,35.20357394218445,13
14,-0.0,37.75314736366272,14
15,-0.0,40.07074427604675,15
16,-0.0,42.771788358688354,16
17,-0.0,45.21569871902466,17
18,-0.0,47.27948307991028,18
19,-0.0,49.728145360946655,19
20,-0.0,51.92386341094971,20
21,-0.0,54.26903247833252,21
22,-0.0,56.96473026275635,22
23,-0.0,59.40570068359375,23
24,-0.0,61.89431166648865,24
25,-0.0,64.15545535087585,25
26,-0.0,66.58941197395325,26
27,-0.0,69.04582238197327,27
28,-0.0,71.11910963058472,28
29,-0.0,73.30129194259644,29
30,-0.0,75.62599229812622,30
31,-0.0,78.07203960418701,31
32,-0.0,80.45113372802734,32
33,-0.0,82.65420794487,33
34,-0.0,84.9849705696106,34
35,-0.0,87.49306511878967,35
36,-0.0,90.07538557052612,36
37,-0.0,92.61124897003174,37
38,-0.0,95.05190205574036,38
39,-0.0,97.3657853603363,39
40,-0.0,99.79736256599426,40
41,-0.0,102.01645994186401,41
42,-0.0,104.30120921134949,42
43,-0.0,106.52864575386047,43
44,-0.0,108.46956491470337,44
45,-0.0,110.71054363250732,45
46,-0.0,113.12870049476624,46
47,-0.0,115.4363534450531,47
48,-0.0,117.71814918518066,48
49,-0.0,120.18563842773438,49
50,-0.0,122.5947937965393,50
