indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Rand_0,1,0,0,5,0,3,3,2
1,Rand_1,2,0,3,4,0,4,1,4
2,Rand_2,3,0,2,0,1,4,2,4
3,Rand_3,4,0,8,0,1,4,2,4
4,Rand_4,5,4,3,0,1,1,2,4
5,Rand_5,1,3,0,5,1,2,2,4
6,Rand_6,2,0,4,3,0,1,4,3
7,Rand_7,3,4,0,1,0,4,2,4
8,Rand_8,4,4,7,0,1,2,3,3
9,Rand_9,5,5,3,0,1,3,2,4
10,Rand_10,1,0,0,4,0,4,3,1
11,Rand_11,2,4,7,3,0,1,1,1
12,Rand_12,3,1,5,0,0,3,2,4
13,Rand_13,4,7,5,0,1,1,4,3
14,Rand_14,5,1,4,0,1,2,1,2
15,Rand_15,1,0,0,7,0,1,3,1
16,Rand_16,2,0,8,4,1,2,1,3
17,Rand_17,3,0,0,0,1,4,2,4
18,Rand_18,4,4,5,2,1,3,2,1
19,Rand_19,5,4,0,0,0,4,3,1
20,Rand_20,1,0,4,6,0,1,4,1
21,Rand_21,2,0,9,4,1,3,1,4
22,Rand_22,3,0,4,0,0,1,4,3
23,Rand_23,4,4,5,0,1,3,2,2
