geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.17128920555114746,1
2,-inf,0.24733877182006836,2
3,-inf,0.30141258239746094,3
4,-inf,0.38974690437316895,4
5,-inf,0.46561598777770996,5
6,-inf,0.5651230812072754,6
7,-inf,0.7555530071258545,7
8,-inf,0.8523192405700684,8
9,-inf,0.960486650466919,9
10,-inf,1.0502524375915527,10
11,-inf,1.1607089042663574,11
12,-inf,1.264136791229248,12
13,-inf,1.3795437812805176,13
14,-inf,1.4931058883666992,14
15,-inf,1.579150676727295,15
16,-inf,1.6906988620758057,16
17,-inf,1.7668895721435547,17
18,-inf,1.8447253704071045,18
19,-inf,1.9611859321594238,19
20,-inf,2.070075750350952,20
21,-inf,2.1820666790008545,21
22,-inf,2.2445201873779297,22
23,-inf,2.337376117706299,23
24,-inf,2.4279911518096924,24
25,-inf,2.5273425579071045,25
26,-inf,2.6070263385772705,26
27,-inf,2.707998514175415,27
28,-inf,2.7735695838928223,28
29,-inf,2.851959466934204,29
30,-inf,2.94071626663208,30
31,-inf,3.0459952354431152,31
32,-inf,3.134911060333252,32
33,-inf,3.248392343521118,33
34,-inf,3.343473434448242,34
35,-inf,3.4397332668304443,35
36,-inf,3.539414882659912,36
37,-inf,3.6496503353118896,37
38,-inf,3.760103225708008,38
39,-inf,3.8555569648742676,39
40,-inf,3.9330015182495117,40
41,-inf,4.036488056182861,41
42,-inf,4.1140687465667725,42
43,-inf,4.212385416030884,43
44,-inf,4.280192613601685,44
45,-inf,4.360949277877808,45
46,-inf,4.441500902175903,46
47,-inf,4.501734972000122,47
48,-inf,4.55236554145813,48
49,-inf,4.647421598434448,49
50,-inf,4.7541680335998535,50
