geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,1.1195149421691895,1
2,-0.0,1.621755599975586,2
3,-0.0,2.2946481704711914,3
4,-0.0,2.9126365184783936,4
5,-0.0,3.6579201221466064,5
6,-0.0,4.260984420776367,6
7,-0.0,4.857803821563721,7
8,-0.0,5.4795310497283936,8
9,-0.0,6.162713050842285,9
10,-0.0,6.817519426345825,10
11,-0.0,7.518480062484741,11
12,-0.0,8.178672790527344,12
13,-0.0,8.823036670684814,13
14,-0.0,9.461984634399414,14
15,-0.0,9.974414825439453,15
16,-0.0,10.585570812225342,16
17,-0.0,11.199509143829346,17
18,-0.0,11.867031812667847,18
19,-0.0,12.493651151657104,19
20,-0.0,13.054129362106323,20
21,-0.0,13.778745651245117,21
22,-0.0,14.392847776412964,22
23,-0.0,15.049514770507812,23
24,-0.0,15.667215347290039,24
25,-0.0,16.37715482711792,25
26,-0.0,17.10334610939026,26
27,-0.0,17.77752447128296,27
28,-0.0,18.389686822891235,28
29,-0.0,19.108964443206787,29
30,-0.0,19.837669849395752,30
31,-0.0,20.492103099822998,31
32,-0.0,21.053495168685913,32
33,-0.0,21.638251543045044,33
34,-0.0,22.307222366333008,34
35,-0.0,22.845338821411133,35
36,-0.0,23.54786229133606,36
37,-0.0,24.157875061035156,37
38,-0.0,24.720186471939087,38
39,-0.0,25.31229329109192,39
40,-0.0,26.01629114151001,40
41,-0.0,26.619943380355835,41
42,-0.0,27.253294467926025,42
43,-0.0,27.906217098236084,43
44,-0.0,28.62392282485962,44
45,-0.0,29.27726459503174,45
46,-0.0,29.950409412384033,46
47,-0.0,30.622936248779297,47
48,-0.0,31.291858673095703,48
49,-0.0,31.986212015151978,49
50,-0.0,32.52202582359314,50
