geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.19704151153564453,1
2,-inf,0.27717018127441406,2
3,-inf,0.37312936782836914,3
4,-inf,0.48731446266174316,4
5,-inf,0.5971722602844238,5
6,-inf,0.6937339305877686,6
7,-inf,0.7723150253295898,7
8,-inf,0.8712704181671143,8
9,-inf,0.9383611679077148,9
10,-inf,1.0249557495117188,10
11,-inf,1.1188461780548096,11
12,-inf,1.1964900493621826,12
13,-inf,1.2567307949066162,13
14,-inf,1.3346881866455078,14
15,-inf,1.4530863761901855,15
16,-inf,1.5858511924743652,16
17,-inf,1.7089745998382568,17
18,-inf,1.801715612411499,18
19,-inf,1.9022185802459717,19
20,-inf,1.9765849113464355,20
21,-inf,2.0991103649139404,21
22,-inf,2.2303924560546875,22
23,-inf,2.3594255447387695,23
24,-inf,2.452977418899536,24
25,-inf,2.5636208057403564,25
26,-inf,2.677393913269043,26
27,-inf,2.7871203422546387,27
28,-inf,2.8622844219207764,28
29,-inf,2.9518256187438965,29
30,-inf,3.070580005645752,30
31,-inf,3.1732842922210693,31
32,-inf,3.248521327972412,32
33,-inf,3.352766752243042,33
34,-inf,3.4598021507263184,34
35,-inf,3.5650815963745117,35
36,-inf,3.6757752895355225,36
37,-inf,3.771620035171509,37
38,-inf,3.8766133785247803,38
39,-inf,3.9754648208618164,39
40,-inf,4.0856547355651855,40
41,-inf,4.182867527008057,41
42,-inf,4.295243740081787,42
43,-inf,4.408361911773682,43
44,-inf,4.548521041870117,44
45,-inf,4.659465551376343,45
46,-inf,4.783614873886108,46
47,-inf,4.875349044799805,47
48,-inf,4.974267959594727,48
49,-inf,5.083409070968628,49
50,-inf,5.199291467666626,50
