geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,6.900208234786987,1
2,-0.0,10.698974847793579,2
3,-0.0,14.236868619918823,3
4,-0.0,17.820300102233887,4
5,-0.0,21.545974731445312,5
6,-0.0,25.20956015586853,6
7,-0.0,28.99785041809082,7
8,-0.0,32.63801980018616,8
9,-0.0,36.39240622520447,9
10,-0.0,40.024744510650635,10
11,-0.0,43.56849527359009,11
12,-0.0,47.138007164001465,12
13,-0.0,50.97669506072998,13
14,-0.0,54.37584972381592,14
15,-0.0,57.87004590034485,15
16,-0.0,61.20145797729492,16
17,-0.0,64.8917486667633,17
18,-0.0,68.49405574798584,18
19,-0.0,72.14140558242798,19
20,-0.0,75.72969841957092,20
21,-0.0,79.98731112480164,21
22,-0.0,83.49540543556213,22
23,-0.0,87.3444573879242,23
24,-0.0,91.08323216438293,24
25,-0.0,94.6576509475708,25
26,-0.0,98.56171798706055,26
27,-0.0,102.15874671936035,27
28,-0.0,105.72766780853271,28
29,-0.0,109.35215425491333,29
30,-0.0,112.67411017417908,30
31,-0.0,116.44219160079956,31
32,-0.0,120.44961547851562,32
33,-0.0,124.11505031585693,33
34,-0.0,127.81157755851746,34
35,-0.0,131.5102686882019,35
36,-0.0,134.8390121459961,36
37,-0.0,138.3703842163086,37
38,-0.0,141.9434370994568,38
39,-0.0,145.75469517707825,39
40,-0.0,149.576477766037,40
41,-0.0,153.37439846992493,41
42,-0.0,157.13510847091675,42
43,-0.0,161.1497941017151,43
44,-0.0,165.1954915523529,44
45,-0.0,168.49102139472961,45
46,-0.0,171.8406217098236,46
47,-0.0,175.1425850391388,47
48,-0.0,178.92811036109924,48
49,-0.0,182.39740753173828,49
50,-0.0,185.7017924785614,50
