indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Altas_0,1,0,3,0,0,1,1,3
1,Altas_1,2,1,3,0,1,1,1,3
2,Altas_2,3,3,0,0,1,1,1,3
3,Altas_3,4,3,6,0,0,1,1,3
4,Altas_4,5,4,1,0,1,1,1,3
5,Altas_5,1,0,4,3,1,1,1,3
6,Altas_6,2,5,3,0,0,1,1,3
7,Altas_7,3,4,5,0,1,1,1,3
8,Altas_8,4,2,2,0,1,1,1,3
9,Altas_9,5,4,7,0,0,1,1,3
10,Altas_10,1,1,0,3,0,1,1,3
11,Altas_11,2,0,5,0,0,1,1,3
12,Altas_12,3,3,5,0,1,1,1,3
13,Altas_13,4,0,2,0,1,1,1,3
14,Altas_14,5,3,4,0,0,1,1,3
15,Altas_15,1,0,3,3,0,1,1,3
16,Altas_16,2,8,3,0,1,1,1,3
17,Altas_17,3,4,0,0,1,1,1,3
18,Altas_18,4,4,6,0,1,1,1,3
19,Altas_19,5,0,4,0,0,1,1,3
20,Altas_20,1,1,0,0,0,1,1,3
21,Altas_21,2,6,3,0,1,1,1,3
22,Altas_22,3,2,6,0,1,1,1,3
23,Altas_23,4,2,1,0,1,1,1,3
24,Altas_24,5,3,1,0,1,1,1,3
25,Altas_25,1,0,5,3,1,1,1,3
26,Altas_26,2,4,3,0,1,1,1,3
27,Altas_27,3,1,5,0,0,1,1,3
28,Altas_28,4,1,7,0,1,1,1,3
29,Altas_29,5,1,4,0,1,1,1,3
30,Altas_30,1,0,0,0,1,1,1,3
31,Altas_31,2,2,3,0,1,1,1,3
32,Altas_32,3,7,0,0,1,1,1,3
33,Altas_33,4,0,7,0,0,1,1,3
34,Altas_34,5,2,4,0,1,1,1,3
35,Altas_35,1,0,6,3,0,1,1,3
36,Altas_36,2,7,3,0,1,1,1,3
37,Altas_37,3,6,5,0,1,1,1,3
38,Altas_38,4,0,1,0,1,1,1,3
39,Altas_39,5,4,2,0,1,1,1,3
40,Altas_40,1,0,2,3,0,1,1,3
41,Altas_41,2,2,0,0,1,1,1,3
42,Altas_42,3,6,0,0,1,1,1,3
43,Altas_43,4,1,2,0,1,1,1,3
44,Altas_44,5,4,4,0,1,1,1,3
45,Altas_45,1,0,7,3,0,1,1,3
46,Altas_46,2,0,6,0,1,1,1,3
47,Altas_47,3,5,5,0,0,1,1,3
48,Altas_48,4,6,6,0,0,1,1,3
49,Altas_49,5,3,7,0,1,1,1,3
50,Altas_50,1,0,1,3,0,1,1,3
51,Altas_51,2,3,3,0,1,1,1,3
52,Altas_52,3,2,5,0,1,1,1,3
53,Altas_53,4,5,6,0,1,1,1,3
54,Altas_54,5,2,7,0,0,1,1,3
55,Altas_55,1,0,0,3,0,1,1,3
56,Altas_56,2,1,6,0,0,1,1,3
57,Altas_57,3,5,0,0,0,1,1,3
58,Altas_58,4,1,1,0,0,1,1,3
59,Altas_59,5,3,2,0,0,1,1,3
