geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,0.5519087314605713,1
2,-0.0,0.8728682994842529,2
3,-0.0,1.4557363986968994,3
4,-0.0,1.786829948425293,4
5,-0.0,2.096163511276245,5
6,-0.0,2.4597349166870117,6
7,-0.0,2.7829463481903076,7
8,-0.0,3.119547128677368,8
9,-0.0,3.346011161804199,9
10,-0.0,3.568178653717041,10
11,-0.0,3.8457486629486084,11
12,-0.0,4.149287939071655,12
13,-0.0,4.452195644378662,13
14,-0.0,4.7173402309417725,14
15,-0.0,4.974028587341309,15
16,-0.0,5.232139825820923,16
17,-0.0,5.411755323410034,17
18,-0.0,5.61993932723999,18
19,-0.0,5.842712163925171,19
20,-0.0,6.069978475570679,20
21,-0.0,6.2724761962890625,21
22,-0.0,6.4867565631866455,22
23,-0.0,6.646292209625244,23
24,-0.0,6.896526336669922,24
25,-0.0,7.129884481430054,25
26,-0.0,7.35722017288208,26
27,-0.0,7.553009986877441,27
28,-0.0,7.737938404083252,28
29,-0.0,7.957456827163696,29
30,-0.0,8.157875776290894,30
31,-0.0,8.453210353851318,31
32,-0.0,8.704752922058105,32
33,-0.0,8.926682710647583,33
34,-0.0,9.160061836242676,34
35,-0.0,9.33395791053772,35
36,-0.0,9.546111822128296,36
37,-0.0,9.758591413497925,37
38,-0.0,9.984818458557129,38
39,-0.0,10.20621132850647,39
40,-0.0,10.453860759735107,40
41,-0.0,10.691896200180054,41
42,-0.0,10.98005723953247,42
43,-0.0,11.17795443534851,43
44,-0.0,11.349524974822998,44
45,-0.0,11.5462646484375,45
46,-0.0,11.737615823745728,46
47,-0.0,12.00261402130127,47
48,-0.0,12.206918239593506,48
49,-0.0,12.44845724105835,49
50,-0.0,12.675278425216675,50
