geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,6.778022527694702,1
2,-0.0,10.07709813117981,2
3,-0.0,13.394185304641724,3
4,-0.0,17.195371866226196,4
5,-0.0,20.94392991065979,5
6,-0.0,24.052422285079956,6
7,-0.0,27.41004729270935,7
8,-0.0,30.950318336486816,8
9,-0.0,34.84097909927368,9
10,-0.0,38.47615694999695,10
11,-0.0,42.0239143371582,11
12,-0.0,45.435731649398804,12
13,-0.0,48.68731164932251,13
14,-0.0,52.20087695121765,14
15,-0.0,56.092315912246704,15
16,-0.0,59.84036588668823,16
17,-0.0,63.27047681808472,17
18,-0.0,66.81739020347595,18
19,-0.0,70.08301377296448,19
20,-0.0,73.61735916137695,20
21,-0.0,76.82763290405273,21
22,-0.0,79.99360966682434,22
23,-0.0,83.24500775337219,23
24,-0.0,86.55512952804565,24
25,-0.0,90.17270612716675,25
26,-0.0,93.81964635848999,26
27,-0.0,97.24706435203552,27
28,-0.0,100.79401898384094,28
29,-0.0,104.37713646888733,29
30,-0.0,108.33028650283813,30
31,-0.0,111.85373544692993,31
32,-0.0,115.3688395023346,32
33,-0.0,119.13757133483887,33
34,-0.0,122.61425924301147,34
35,-0.0,126.09943079948425,35
36,-0.0,129.62418150901794,36
37,-0.0,133.32412934303284,37
38,-0.0,136.85240268707275,38
39,-0.0,140.4075152873993,39
40,-0.0,143.6373827457428,40
41,-0.0,146.919695854187,41
42,-0.0,149.94900798797607,42
43,-0.0,153.03934001922607,43
44,-0.0,156.15684413909912,44
45,-0.0,159.44532465934753,45
46,-0.0,162.96375703811646,46
47,-0.0,166.15575051307678,47
48,-0.0,169.84770321846008,48
49,-0.0,173.44242334365845,49
50,-0.0,177.09928178787231,50
