geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,2.403297185897827,1
2,-0.0,3.529266357421875,2
3,-0.0,4.846731424331665,3
4,-0.0,6.131947994232178,4
5,-0.0,7.291295766830444,5
6,-0.0,8.615749597549438,6
7,-0.0,9.754841566085815,7
8,-0.0,10.901213884353638,8
9,-0.0,11.99146580696106,9
10,-0.0,13.304079294204712,10
11,-0.0,14.673338651657104,11
12,-0.0,15.927931308746338,12
13,-0.0,17.170634984970093,13
14,-0.0,18.213944911956787,14
15,-0.0,19.52998948097229,15
16,-0.0,20.785511016845703,16
17,-0.0,22.00794506072998,17
18,-0.0,23.42428493499756,18
19,-0.0,24.63112473487854,19
20,-0.0,25.902570724487305,20
21,-0.0,27.009300231933594,21
22,-0.0,28.09669852256775,22
23,-0.0,29.315409660339355,23
24,-0.0,30.56013011932373,24
25,-0.0,31.76670217514038,25
26,-0.0,32.99139618873596,26
27,-0.0,34.28070855140686,27
28,-0.0,35.42524194717407,28
29,-0.0,36.866883516311646,29
30,-0.0,38.1942834854126,30
31,-0.0,39.587268352508545,31
32,-0.0,40.732529163360596,32
33,-0.0,42.06701922416687,33
34,-0.0,43.23336935043335,34
35,-0.0,44.29966068267822,35
36,-0.0,45.566816568374634,36
37,-0.0,46.8418288230896,37
38,-0.0,48.06673979759216,38
39,-0.0,49.11919069290161,39
40,-0.0,50.24351668357849,40
41,-0.0,51.632853984832764,41
42,-0.0,53.00037932395935,42
43,-0.0,54.36249399185181,43
44,-0.0,55.53022861480713,44
45,-0.0,56.76499533653259,45
46,-0.0,58.05424451828003,46
47,-0.0,59.306047201156616,47
48,-0.0,60.65212082862854,48
49,-0.0,62.047394037246704,49
50,-0.0,63.3281044960022,50
