geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,7.100955486297607,1
2,-0.0,11.03293490409851,2
3,-0.0,15.032949209213257,3
4,-0.0,18.637179374694824,4
5,-0.0,22.312410593032837,5
6,-0.0,26.126216650009155,6
7,-0.0,29.659423828125,7
8,-0.0,33.31665277481079,8
9,-0.0,36.733267307281494,9
10,-0.0,39.937073945999146,10
11,-0.0,43.94898867607117,11
12,-0.0,47.47405982017517,12
13,-0.0,51.13150930404663,13
14,-0.0,54.93282699584961,14
15,-0.0,58.751163482666016,15
16,-0.0,63.00415873527527,16
17,-0.0,66.80778384208679,17
18,-0.0,70.70627689361572,18
19,-0.0,74.38191747665405,19
20,-0.0,78.3110077381134,20
21,-0.0,81.97535419464111,21
22,-0.0,85.85447359085083,22
23,-0.0,89.71449255943298,23
24,-0.0,93.49537324905396,24
25,-0.0,97.27178812026978,25
26,-0.0,101.18031477928162,26
27,-0.0,105.47222399711609,27
28,-0.0,109.41778922080994,28
29,-0.0,113.06312131881714,29
30,-0.0,116.74054670333862,30
31,-0.0,120.05876684188843,31
32,-0.0,123.02694630622864,32
33,-0.0,126.7631676197052,33
34,-0.0,130.48650527000427,34
35,-0.0,134.01025819778442,35
36,-0.0,137.77212524414062,36
37,-0.0,141.6997230052948,37
38,-0.0,145.59932804107666,38
39,-0.0,148.8707630634308,39
40,-0.0,152.34109210968018,40
41,-0.0,155.7839231491089,41
42,-0.0,159.19925475120544,42
43,-0.0,162.52521562576294,43
44,-0.0,165.74609327316284,44
45,-0.0,169.1195569038391,45
46,-0.0,172.53581976890564,46
47,-0.0,176.15659046173096,47
48,-0.0,179.2962954044342,48
49,-0.0,182.55766940116882,49
50,-0.0,186.05670857429504,50
