indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Cubicas_0,1,0,5,0,0,1,1,1
1,Cubicas_1,2,3,4,0,0,1,1,1
2,Cubicas_2,3,2,7,0,1,1,1,1
3,Cubicas_3,4,0,6,0,1,1,1,1
4,Cubicas_4,5,4,0,0,1,1,1,1
5,Cubicas_5,1,6,5,0,0,1,1,1
6,Cubicas_6,2,5,4,0,0,1,1,1
7,Cubicas_7,3,3,2,0,0,1,1,1
8,Cubicas_8,4,2,6,0,0,1,1,1
9,Cubicas_9,5,3,0,0,0,1,1,1
10,Cubicas_10,1,8,5,0,0,1,1,1
11,Cubicas_11,2,1,7,0,1,1,1,1
12,Cubicas_12,3,2,2,0,1,1,1,1
13,Cubicas_13,4,0,1,0,1,1,1,1
14,Cubicas_14,5,1,0,0,0,1,1,1
15,Cubicas_15,1,2,5,0,1,1,1,1
16,Cubicas_16,2,6,4,0,1,1,1,1
17,Cubicas_17,3,5,2,0,1,1,1,1
18,Cubicas_18,4,1,6,0,0,1,1,1
19,Cubicas_19,5,2,0,0,1,1,1,1
20,Cubicas_20,1,1,5,0,1,1,1,1
21,Cubicas_21,2,0,4,0,1,1,1,1
22,Cubicas_22,3,0,2,0,0,1,1,1
23,Cubicas_23,4,6,1,0,1,1,1,1
24,Cubicas_24,5,1,3,0,1,1,1,1
25,Cubicas_25,1,4,5,0,1,1,1,1
26,Cubicas_26,2,1,4,0,0,1,1,1
27,Cubicas_27,3,5,7,0,1,1,1,1
28,Cubicas_28,4,4,6,0,1,1,1,1
29,Cubicas_29,5,2,3,0,1,1,1,1
30,Cubicas_30,1,9,5,0,0,1,1,1
31,Cubicas_31,2,0,0,0,1,1,1,1
32,Cubicas_32,3,3,7,0,1,1,1,1
33,Cubicas_33,4,5,1,0,0,1,1,1
34,Cubicas_34,5,5,6,0,0,1,1,1
35,Cubicas_35,1,0,0,1,1,1,1,1
36,Cubicas_36,2,7,4,0,1,1,1,1
37,Cubicas_37,3,4,2,0,0,1,1,1
38,Cubicas_38,4,2,1,0,1,1,1,1
39,Cubicas_39,5,3,3,0,0,1,1,1
40,Cubicas_40,1,5,5,0,0,1,1,1
41,Cubicas_41,2,0,7,0,1,1,1,1
42,Cubicas_42,3,6,2,0,0,1,1,1
43,Cubicas_43,4,4,1,0,0,1,1,1
44,Cubicas_44,5,0,3,0,1,1,1,1
45,Cubicas_45,1,7,5,0,1,1,1,1
46,Cubicas_46,2,8,4,0,0,1,1,1
47,Cubicas_47,3,1,2,0,1,1,1,1
48,Cubicas_48,4,1,1,0,1,1,1,1
49,Cubicas_49,5,5,0,0,1,1,1,1
50,Cubicas_50,1,0,1,1,0,1,1,1
51,Cubicas_51,2,4,4,0,1,1,1,1
52,Cubicas_52,3,4,7,0,1,1,1,1
53,Cubicas_53,4,3,6,0,0,1,1,1
54,Cubicas_54,5,4,3,0,0,1,1,1
55,Cubicas_55,1,3,5,0,0,1,1,1
56,Cubicas_56,2,2,4,0,0,1,1,1
57,Cubicas_57,3,6,7,0,1,1,1,1
58,Cubicas_58,4,3,1,0,0,1,1,1
59,Cubicas_59,5,5,3,0,0,1,1,1
