geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,4.535474538803101,1
2,-0.0,6.677846193313599,2
3,-0.0,8.630131483078003,3
4,-0.0,10.588947534561157,4
5,-0.0,12.902523279190063,5
6,-0.0,15.414482355117798,6
7,-0.0,17.607940196990967,7
8,-0.0,19.642682790756226,8
9,-0.0,21.563908338546753,9
10,-0.0,23.82874035835266,10
11,-0.0,25.935669660568237,11
12,-0.0,28.109938621520996,12
13,-0.0,30.330936670303345,13
14,-0.0,32.329981327056885,14
15,-0.0,34.376527070999146,15
16,-0.0,36.549657583236694,16
17,-0.0,38.564329624176025,17
18,-0.0,40.63403630256653,18
19,-0.0,42.89206337928772,19
20,-0.0,45.22331237792969,20
21,-0.0,47.19708609580994,21
22,-0.0,49.3465781211853,22
23,-0.0,51.59245204925537,23
24,-0.0,53.556889295578,24
25,-0.0,55.383061170578,25
26,-0.0,57.74403738975525,26
27,-0.0,59.62045240402222,27
28,-0.0,61.48782801628113,28
29,-0.0,63.532732248306274,29
30,-0.0,65.52971243858337,30
31,-0.0,67.76562738418579,31
32,-0.0,69.89177775382996,32
33,-0.0,71.99350595474243,33
34,-0.0,73.96091103553772,34
35,-0.0,76.48005723953247,35
36,-0.0,78.97146511077881,36
37,-0.0,81.25387048721313,37
38,-0.0,83.39267063140869,38
39,-0.0,85.62357974052429,39
40,-0.0,88.3494234085083,40
41,-0.0,90.26292419433594,41
42,-0.0,92.58483648300171,42
43,-0.0,94.90903854370117,43
44,-0.0,97.19217300415039,44
45,-0.0,99.28388047218323,45
46,-0.0,101.3956356048584,46
47,-0.0,103.62323546409607,47
48,-0.0,105.97931480407715,48
49,-0.0,107.99064803123474,49
50,-0.0,109.74527359008789,50
