geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.16126632690429688,1
2,-inf,0.23813128471374512,2
3,-inf,0.3252685070037842,3
4,-inf,0.4264540672302246,4
5,-inf,0.49050450325012207,5
6,-inf,0.5591843128204346,6
7,-inf,0.6455910205841064,7
8,-inf,0.7339160442352295,8
9,-inf,0.8556523323059082,9
10,-inf,0.9301059246063232,10
11,-inf,1.0109508037567139,11
12,-inf,1.0688116550445557,12
13,-inf,1.1326780319213867,13
14,-inf,1.217193603515625,14
15,-inf,1.2957324981689453,15
16,-inf,1.359166145324707,16
17,-inf,1.4477119445800781,17
18,-inf,1.5454587936401367,18
19,-inf,1.6385383605957031,19
20,-inf,1.7491624355316162,20
21,-inf,1.8265666961669922,21
22,-inf,1.908722162246704,22
23,-inf,2.0169315338134766,23
24,-inf,2.0971200466156006,24
25,-inf,2.1826770305633545,25
26,-inf,2.253396987915039,26
27,-inf,2.3302083015441895,27
28,-inf,2.407989978790283,28
29,-inf,2.479921340942383,29
30,-inf,2.559769630432129,30
31,-inf,2.6214916706085205,31
32,-inf,2.7030510902404785,32
33,-inf,2.832257032394409,33
34,-inf,2.9274239540100098,34
35,-inf,3.006981134414673,35
36,-inf,3.0821709632873535,36
37,-inf,3.1818363666534424,37
38,-inf,3.250351667404175,38
39,-inf,3.330705404281616,39
40,-inf,3.423187732696533,40
41,-inf,3.481241464614868,41
42,-inf,3.5582435131073,42
43,-inf,3.657109498977661,43
44,-inf,3.7536509037017822,44
45,-inf,3.859102725982666,45
46,-inf,3.9706625938415527,46
47,-inf,4.07409405708313,47
48,-inf,4.180641174316406,48
49,-inf,4.264054775238037,49
50,-inf,4.372766971588135,50
