geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,19.834076642990112,1
2,-0.0,29.72497534751892,2
3,-0.0,39.32575988769531,3
4,-0.0,48.3603892326355,4
5,-0.0,57.54403042793274,5
6,-0.0,67.22540616989136,6
7,-0.0,77.00172185897827,7
8,-0.0,86.56653571128845,8
9,-0.0,95.53115749359131,9
10,-0.0,104.80489182472229,10
11,-0.0,114.37519669532776,11
12,-0.0,123.9460027217865,12
13,-0.0,133.48853731155396,13
14,-0.0,142.9534854888916,14
15,-0.0,152.33894610404968,15
16,-0.0,161.7598912715912,16
17,-0.0,170.6615252494812,17
18,-0.0,179.8113374710083,18
19,-0.0,189.13541913032532,19
