geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.8149604797363281,1
2,-inf,1.202867031097412,2
3,-inf,1.557422161102295,3
4,-inf,1.9351098537445068,4
5,-inf,2.3514509201049805,5
6,-inf,2.6979520320892334,6
7,-inf,3.000596523284912,7
8,-inf,3.4044387340545654,8
9,-inf,3.860909938812256,9
10,-inf,4.296496629714966,10
11,-inf,4.739735841751099,11
12,-inf,5.053950786590576,12
13,-inf,5.538508653640747,13
14,-inf,6.052863121032715,14
15,-inf,6.4602837562561035,15
16,-inf,6.883595943450928,16
17,-inf,7.218432664871216,17
18,-inf,7.594386100769043,18
19,-inf,8.036197662353516,19
20,-inf,8.55979871749878,20
21,-inf,9.009134769439697,21
22,-inf,9.533725023269653,22
23,-inf,9.927993774414062,23
24,-inf,10.539465188980103,24
25,-inf,11.061034202575684,25
26,-inf,11.472603559494019,26
27,-inf,11.852599382400513,27
28,-inf,12.300679206848145,28
29,-inf,12.729642391204834,29
30,-inf,13.138033866882324,30
31,-inf,13.582942962646484,31
32,-inf,14.030559301376343,32
33,-inf,14.324793338775635,33
34,-inf,14.751012325286865,34
35,-inf,15.27768063545227,35
36,-inf,15.743728876113892,36
37,-inf,16.112444162368774,37
38,-inf,16.699886083602905,38
39,-inf,17.186874866485596,39
40,-inf,17.5665500164032,40
41,-inf,17.9001247882843,41
42,-inf,18.295535564422607,42
43,-inf,18.70201086997986,43
44,-inf,19.124481201171875,44
45,-inf,19.571099758148193,45
46,-inf,20.041022539138794,46
47,-inf,20.42260241508484,47
48,-inf,20.80788016319275,48
49,-inf,21.127838850021362,49
50,-inf,21.527913331985474,50
