geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.6829268932342529,1
2,-inf,1.059417486190796,2
3,-inf,1.5174643993377686,3
4,-inf,1.901268482208252,4
5,-inf,2.2814009189605713,5
6,-inf,2.714906692504883,6
7,-inf,3.0692715644836426,7
8,-inf,3.3706490993499756,8
9,-inf,3.774362564086914,9
10,-inf,4.181389808654785,10
11,-inf,4.412560939788818,11
12,-inf,4.809722185134888,12
13,-inf,5.189917802810669,13
14,-inf,5.637639760971069,14
15,-inf,6.04993462562561,15
16,-inf,6.573586940765381,16
17,-inf,7.052279233932495,17
18,-inf,7.410512208938599,18
19,-inf,7.851812839508057,19
20,-inf,8.251542568206787,20
21,-inf,8.647566318511963,21
22,-inf,9.034927606582642,22
23,-inf,9.36862826347351,23
24,-inf,9.817572832107544,24
25,-inf,10.179601192474365,25
26,-inf,10.539621114730835,26
27,-inf,10.913509607315063,27
28,-inf,11.336390733718872,28
29,-inf,11.882219314575195,29
30,-inf,12.306773662567139,30
31,-inf,12.981907367706299,31
32,-inf,13.278735876083374,32
33,-inf,13.710913181304932,33
34,-inf,14.067347049713135,34
35,-inf,14.454562902450562,35
36,-inf,14.937283992767334,36
37,-inf,15.312130451202393,37
38,-inf,15.813183784484863,38
39,-inf,16.275269746780396,39
40,-inf,16.72236204147339,40
41,-inf,17.202428579330444,41
42,-inf,17.758643865585327,42
43,-inf,18.169235229492188,43
44,-inf,18.54214644432068,44
45,-inf,18.903400897979736,45
46,-inf,19.280699253082275,46
47,-inf,19.589366674423218,47
48,-inf,19.97797989845276,48
49,-inf,20.507469415664673,49
50,-inf,21.01147961616516,50
