indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Box_0_1x1x1_1,1,0,0,2,0,1,1,1
1,Box_0_1x1x1_2,1,0,2,2,0,1,1,1
2,Box_0_1x1x1_3,1,0,4,1,0,1,1,1
3,Box_0_1x1x1_4,1,0,1,2,0,1,1,1
4,Box_1_1x1x4_1,2,1,4,1,1,1,1,4
5,Box_1_1x1x4_2,2,2,4,1,0,1,1,4
6,Box_2_4x1x1_1,3,0,0,1,1,1,4,1
7,Box_2_4x1x1_2,3,0,4,0,0,4,1,1
8,Box_3_3x3x3_1,4,1,0,2,1,3,3,3
9,Box_4_1x1x1_1,5,0,0,0,1,1,1,1
10,Box_4_1x1x1_2,5,0,2,0,0,1,1,1
11,Box_4_1x1x1_3,5,1,1,0,1,1,1,1
12,Box_4_1x1x1_4,5,1,0,1,0,1,1,1
13,Box_4_1x1x1_5,5,0,1,0,1,1,1,1
14,Box_4_1x1x1_6,5,3,0,1,1,1,1,1
15,Box_4_1x1x1_7,5,2,0,1,1,1,1,1
16,Box_4_1x1x1_8,5,1,1,1,1,1,1,1
17,Box_4_1x1x1_9,5,1,0,0,1,1,1,1
18,Box_4_1x1x1_10,5,0,3,0,1,1,1,1
19,Box_5_2x2x1_1,6,2,2,0,1,2,2,1
20,Box_5_2x2x1_2,6,2,1,1,0,2,2,1
21,Box_5_2x2x1_3,6,2,0,0,0,2,2,1
22,Box_5_1x2x2_1,6,1,2,0,0,1,2,2
