geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.9457297325134277,1
2,-inf,1.461580514907837,2
3,-inf,1.8652989864349365,3
4,-inf,2.4277827739715576,4
5,-inf,2.9439940452575684,5
6,-inf,3.5108284950256348,6
7,-inf,4.127806186676025,7
8,-inf,4.5390448570251465,8
9,-inf,5.1783599853515625,9
10,-inf,5.705761671066284,10
11,-inf,6.2973034381866455,11
12,-inf,6.69925594329834,12
13,-inf,7.2080771923065186,13
14,-inf,7.660021543502808,14
15,-inf,8.026045560836792,15
16,-inf,8.46103572845459,16
17,-inf,8.940421104431152,17
18,-inf,9.426648616790771,18
19,-inf,9.86714482307434,19
20,-inf,10.301519870758057,20
21,-inf,10.780011653900146,21
22,-inf,11.163844585418701,22
23,-inf,11.547131776809692,23
24,-inf,11.912792205810547,24
25,-inf,12.255078077316284,25
26,-inf,12.720884323120117,26
27,-inf,13.173298358917236,27
28,-inf,13.656647205352783,28
29,-inf,14.073699474334717,29
30,-inf,14.499917030334473,30
31,-inf,15.015830278396606,31
32,-inf,15.536354541778564,32
33,-inf,16.12051558494568,33
34,-inf,16.58214521408081,34
35,-inf,17.050416946411133,35
36,-inf,17.698776483535767,36
37,-inf,18.195041179656982,37
38,-inf,18.63855218887329,38
39,-inf,19.1231632232666,39
40,-inf,19.683529138565063,40
41,-inf,20.117578268051147,41
42,-inf,20.63627004623413,42
43,-inf,21.131600618362427,43
44,-inf,21.61317491531372,44
45,-inf,22.113921403884888,45
46,-inf,22.729329347610474,46
47,-inf,23.05076265335083,47
48,-inf,23.57033610343933,48
49,-inf,24.015214443206787,49
50,-inf,24.52186417579651,50
