geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.13825321197509766,1
2,-inf,0.18806910514831543,2
3,-inf,0.2571086883544922,3
4,-inf,0.34041404724121094,4
5,-inf,0.4115912914276123,5
6,-inf,0.47298240661621094,6
7,-inf,0.5330667495727539,7
8,-inf,0.6405534744262695,8
9,-inf,0.7208743095397949,9
10,-inf,0.8082594871520996,10
11,-inf,0.9093716144561768,11
12,-inf,0.9789094924926758,12
13,-inf,1.0684280395507812,13
14,-inf,1.1469905376434326,14
15,-inf,1.2163410186767578,15
16,-inf,1.2992420196533203,16
17,-inf,1.364410400390625,17
18,-inf,1.4136524200439453,18
19,-inf,1.4942073822021484,19
20,-inf,1.5951271057128906,20
21,-inf,1.6880149841308594,21
22,-inf,1.7728190422058105,22
23,-inf,1.864532232284546,23
24,-inf,1.9539096355438232,24
25,-inf,2.0179176330566406,25
26,-inf,2.101426839828491,26
27,-inf,2.1815903186798096,27
28,-inf,2.2275471687316895,28
29,-inf,2.3270349502563477,29
30,-inf,2.4078011512756348,30
31,-inf,2.4883813858032227,31
32,-inf,2.6122636795043945,32
33,-inf,2.710740089416504,33
34,-inf,2.818044662475586,34
35,-inf,2.901672840118408,35
36,-inf,2.98603892326355,36
37,-inf,3.0714778900146484,37
38,-inf,3.1517834663391113,38
39,-inf,3.1974761486053467,39
40,-inf,3.2784249782562256,40
41,-inf,3.353318929672241,41
42,-inf,3.415306568145752,42
43,-inf,3.473400831222534,43
44,-inf,3.5389232635498047,44
45,-inf,3.5882558822631836,45
46,-inf,3.6663715839385986,46
47,-inf,3.765745162963867,47
48,-inf,3.8731887340545654,48
49,-inf,3.9669840335845947,49
50,-inf,4.026576280593872,50
