geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.13675284385681152,1
2,-inf,0.22623515129089355,2
3,-inf,0.2858927249908447,3
4,-inf,0.3331432342529297,4
5,-inf,0.39950013160705566,5
6,-inf,0.4464082717895508,6
7,-inf,0.521169900894165,7
8,-inf,0.6104001998901367,8
9,-inf,0.6987407207489014,9
10,-inf,0.7843222618103027,10
11,-inf,0.8636958599090576,11
12,-inf,0.9236688613891602,12
13,-inf,1.0159788131713867,13
14,-inf,1.080186128616333,14
15,-inf,1.1572000980377197,15
16,-inf,1.2453267574310303,16
17,-inf,1.2968664169311523,17
18,-inf,1.3553836345672607,18
19,-inf,1.4274253845214844,19
20,-inf,1.526210069656372,20
21,-inf,1.599113941192627,21
22,-inf,1.709935188293457,22
23,-inf,1.7676644325256348,23
24,-inf,1.8543922901153564,24
25,-inf,1.9338579177856445,25
26,-inf,2.0111100673675537,26
27,-inf,2.0823216438293457,27
28,-inf,2.156087875366211,28
29,-inf,2.2247092723846436,29
30,-inf,2.288888692855835,30
31,-inf,2.3503408432006836,31
32,-inf,2.456123113632202,32
33,-inf,2.5103509426116943,33
34,-inf,2.5769922733306885,34
35,-inf,2.6194050312042236,35
36,-inf,2.6825315952301025,36
37,-inf,2.7515342235565186,37
38,-inf,2.81652569770813,38
39,-inf,2.8895812034606934,39
40,-inf,2.976166009902954,40
41,-inf,3.04284930229187,41
42,-inf,3.09407377243042,42
43,-inf,3.1513519287109375,43
44,-inf,3.2488441467285156,44
45,-inf,3.3097856044769287,45
46,-inf,3.36913800239563,46
47,-inf,3.4366567134857178,47
48,-inf,3.52828049659729,48
49,-inf,3.6082823276519775,49
50,-inf,3.6817150115966797,50
