geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,5.429248809814453,1
2,-inf,7.68001651763916,2
3,-6.458333333333338e-06,9.92615532875061,0
4,-6.458333333333338e-06,12.712494373321533,1
5,-6.458333333333338e-06,14.76332139968872,2
6,-1.4583333333333337e-06,16.825031280517578,0
7,-1.4583333333333337e-06,19.16688847541809,1
8,-1.4583333333333337e-06,21.350537538528442,2
9,-1.4583333333333337e-06,23.80124568939209,3
10,-1.4583333333333337e-06,25.883818864822388,4
11,-1.4583333333333337e-06,28.130287885665894,5
12,-9.722222222222222e-07,30.338738203048706,0
13,-9.722222222222222e-07,32.577889919281006,1
14,-9.722222222222222e-07,34.89682364463806,2
15,-8.333333333333332e-07,37.13444113731384,0
16,-4.861111111111112e-07,39.56488823890686,0
17,-2.0833333333333333e-07,42.133450508117676,0
18,-2.0833333333333333e-07,44.91509389877319,1
19,-2.0833333333333333e-07,47.24848747253418,2
20,-0.0,49.29486417770386,0
21,-0.0,51.446807622909546,1
22,-0.0,53.82754611968994,2
23,-0.0,56.06557059288025,3
24,-0.0,58.30623435974121,4
25,-0.0,60.58302903175354,5
26,-0.0,62.68496537208557,6
27,-0.0,64.92890071868896,7
28,-0.0,67.12329411506653,8
29,-0.0,69.6597113609314,9
30,-0.0,71.85171961784363,10
31,-0.0,74.26320242881775,11
32,-0.0,76.81130599975586,12
33,-0.0,79.12239456176758,13
34,-0.0,81.3756594657898,14
35,-0.0,83.73227453231812,15
36,-0.0,86.37168836593628,16
37,-0.0,88.67363953590393,17
38,-0.0,90.89131665229797,18
39,-0.0,93.70001029968262,19
40,-0.0,96.08794522285461,20
41,-0.0,98.69422626495361,21
42,-0.0,101.21612024307251,22
43,-0.0,103.56013941764832,23
44,-0.0,105.93930506706238,24
45,-0.0,108.55970978736877,25
46,-0.0,111.06635546684265,26
47,-0.0,113.56402230262756,27
48,-0.0,115.98794555664062,28
49,-0.0,118.2296290397644,29
50,-0.0,120.50370669364929,30
51,-0.0,122.80919408798218,31
52,-0.0,125.25513195991516,32
53,-0.0,127.7819037437439,33
54,-0.0,130.27104234695435,34
55,-0.0,132.77794909477234,35
56,-0.0,135.0443160533905,36
57,-0.0,138.02046513557434,37
58,-0.0,140.49871683120728,38
59,-0.0,143.17820382118225,39
60,-0.0,145.71811723709106,40
61,-0.0,148.26681447029114,41
62,-0.0,150.6302523612976,42
63,-0.0,153.11941361427307,43
64,-0.0,155.4777317047119,44
65,-0.0,157.85680890083313,45
66,-0.0,160.2760992050171,46
67,-0.0,162.67733144760132,47
68,-0.0,164.91443300247192,48
69,-0.0,167.2558045387268,49
70,-0.0,169.47717475891113,50
