indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Mistas_0,1,0,0,4,1,2,2,1
1,Mistas_1,2,3,3,1,0,2,2,1
2,Mistas_2,3,3,0,1,0,1,2,2
3,Mistas_3,4,7,3,0,0,1,2,2
4,Mistas_4,5,8,0,0,1,2,2,1
5,Mistas_5,1,0,2,2,1,2,1,2
6,Mistas_6,2,1,4,1,0,1,1,1
7,Mistas_7,3,7,1,1,1,1,1,1
8,Mistas_8,4,0,6,0,1,2,1,2
9,Mistas_9,5,6,0,0,1,2,2,1
10,Mistas_10,1,0,2,4,1,2,2,1
11,Mistas_11,2,2,2,1,0,1,2,2
12,Mistas_12,3,5,0,1,1,2,2,1
13,Mistas_13,4,4,6,0,0,2,2,1
14,Mistas_14,5,5,5,0,1,2,1,2
15,Mistas_15,1,0,6,3,1,2,2,1
16,Mistas_16,2,0,3,2,1,2,1,2
17,Mistas_17,3,2,4,0,0,1,1,1
18,Mistas_18,4,8,3,0,0,1,2,2
19,Mistas_19,5,1,5,0,1,2,1,2
20,Mistas_20,1,2,0,3,1,2,2,1
21,Mistas_21,2,0,4,1,1,1,1,1
22,Mistas_22,3,4,1,1,0,1,1,1
23,Mistas_23,4,5,3,0,0,2,2,1
24,Mistas_24,5,3,2,0,1,2,1,2
25,Mistas_25,1,2,2,3,0,1,1,1
26,Mistas_26,2,2,4,1,1,1,1,1
27,Mistas_27,3,0,3,0,0,2,2,1
28,Mistas_28,4,0,7,0,1,2,1,2
29,Mistas_29,5,3,5,0,1,2,1,2
30,Mistas_30,1,0,0,3,1,2,2,1
31,Mistas_31,2,2,4,2,0,2,2,1
32,Mistas_32,3,2,3,0,1,1,1,1
33,Mistas_33,4,2,6,0,0,2,2,1
34,Mistas_34,5,5,2,0,1,2,1,2
35,Mistas_35,1,0,6,2,1,2,2,1
36,Mistas_36,2,0,2,1,0,2,2,1
37,Mistas_37,3,9,0,1,0,1,2,2
38,Mistas_38,4,6,6,0,0,2,2,1
39,Mistas_39,5,2,0,0,1,2,2,1
40,Mistas_40,1,0,4,3,1,2,2,1
41,Mistas_41,2,5,3,1,1,2,2,1
42,Mistas_42,3,7,0,1,1,2,1,2
43,Mistas_43,4,3,3,0,1,2,2,1
44,Mistas_44,5,4,0,0,1,2,2,1
45,Mistas_45,1,7,0,3,1,2,1,2
46,Mistas_46,2,0,0,1,0,1,2,2
47,Mistas_47,3,1,0,1,1,2,2,1
48,Mistas_48,4,0,2,0,1,1,1,1
49,Mistas_49,5,0,0,0,0,2,2,1
50,Mistas_50,1,0,4,2,0,2,2,1
51,Mistas_51,2,0,5,1,0,1,1,1
52,Mistas_52,3,4,0,1,0,1,1,1
53,Mistas_53,4,1,2,0,1,1,1,1
54,Mistas_54,5,8,5,0,1,2,2,1
55,Mistas_55,1,2,4,3,0,2,2,1
56,Mistas_56,2,1,0,2,0,2,2,1
57,Mistas_57,3,8,1,1,1,1,1,1
58,Mistas_58,4,2,2,0,1,1,1,1
59,Mistas_59,5,0,5,0,1,1,1,1
