geracao,melhor_fitness,tempo_acumulado,melhoria
1,-0.0,20.75110411643982,1
2,-0.0,28.037375926971436,2
3,-0.0,35.76930832862854,3
4,-0.0,43.65624165534973,4
5,-0.0,51.94525170326233,5
6,-0.0,59.19789671897888,6
7,-0.0,67.3030321598053,7
8,-0.0,76.17112040519714,8
9,-0.0,84.71697402000427,9
10,-0.0,93.16819167137146,10
11,-0.0,100.20152854919434,11
12,-0.0,107.3942539691925,12
13,-0.0,114.58900570869446,13
14,-0.0,122.01365351676941,14
15,-0.0,129.13418698310852,15
16,-0.0,136.61520147323608,16
17,-0.0,143.68727040290833,17
18,-0.0,150.2210614681244,18
19,-0.0,157.8543701171875,19
20,-0.0,165.17733669281006,20
21,-0.0,172.75801277160645,21
22,-0.0,180.23120951652527,22
