geracao,melhor_fitness,tempo_acumulado,melhoria
1,-inf,0.8782525062561035,1
2,-6.701030927835055e-06,1.3010873794555664,0
3,-6.701030927835055e-06,1.8907301425933838,1
4,-6.701030927835055e-06,2.394777297973633,2
5,-6.701030927835055e-06,2.930187463760376,3
6,-5.025773195876291e-06,3.476790428161621,0
7,-3.3505154639175254e-06,3.950493574142456,0
8,-3.3505154639175254e-06,4.5029191970825195,1
9,-3.09278350515464e-06,5.3040783405303955,0
10,-3.09278350515464e-06,6.3963329792022705,1
11,-2.9639175257731967e-06,7.579631090164185,0
12,-0.0,8.518490076065063,0
